episode,reward,avg_q_value
1,-4346.353889240604,-7.137932037437839
2,-2441.263624331408,-5.867065609893863
3,-3680.343238369394,-9.107987824163722
4,-1747.2367378493943,-7.529175727372022
5,-2601.281194357414,-8.895984049598784
6,-4228.412406693904,-11.867545082718552
7,-1774.8198577925739,-10.088317277657401
8,-2945.5804220384734,-12.224437905265953
9,-3157.2590578176655,-14.805361551123747
10,-1695.9014647581266,-11.766654806740002
11,-3054.8162674975974,-12.075074455813846
12,-3550.424676880183,-14.371623486631885
13,-2880.8924170749146,-15.846558973490001
14,-3838.3465102517985,-18.253395885335824
15,-3202.209319654117,-20.419990286552174
16,-3964.7474963457585,-23.354627201689695
17,-2389.3143951159695,-21.393376879998605
18,-2787.191929765264,-23.19987533219692
19,-2175.5827927986343,-19.859948858029586
20,-3382.7222454259045,-21.20091102335795
21,-3982.4221514947935,-23.45705058744427
22,-4065.863177013331,-25.646532839499805
23,-5313.856819376018,-29.539943420373366
24,-2895.596890755653,-28.28846394764654
25,-3211.7390497143037,-30.19706896310591
26,654.4296310629846,-15.882937476984107
27,-3301.464792326177,-16.910456968403732
28,-3525.5657856624457,-18.49905095060635
29,-3665.8390811582785,-20.947373314670532
30,-3547.89136738111,-21.134525863013604
31,-3836.9553814913847,-24.132802316654992
32,-1616.226914003801,-20.226356763550797
33,-3172.2734881261754,-21.801252913806717
34,-2510.0160556220762,-19.78961228946032
35,-2331.6249641766144,-18.403403448080287
36,-3886.7658247458216,-21.36443364968048
37,-3632.3399905141123,-24.10004584066755
38,-2546.8200968509373,-23.757664692156965
39,-2758.823423717289,-23.150784087051697
40,-2578.044423327999,-22.351856774596673
41,-2800.2418388897718,-24.146050911358067
42,-3818.1174963226586,-26.69775553313584
43,-1778.9447215007601,-20.372398428589317
44,-3351.305256374813,-22.969433347258082
45,-1687.899048743978,-18.59677840627664
46,-1943.8994589715498,-16.682279823406688
47,-4260.462305859558,-20.464975729827213
48,-4656.493686329149,-24.384905411540988
49,-2735.162909834546,-22.672196651637226
50,-2553.2505328594175,-19.66550999036115
