episode,reward,avg_q_value
1,-3659.823071269241,-5.176900286123383
2,-3137.094995565737,-7.031839469175742
3,-4085.6983513496293,-11.00815504087448
4,-2098.6251838001026,-9.739517731159223
5,-2274.9875444610857,-9.288317380593247
6,-4807.834043972502,-13.903783545619829
7,-3454.6332059413103,-16.011749039880176
8,-2261.6119944671877,-14.541964913135113
9,-1819.9740147703874,-12.483839964882275
10,-2776.000974685486,-11.88821009612204
11,-2915.4527028867055,-13.811643978544534
12,-3736.8406585115263,-17.031680962456672
13,-3965.1592384089076,-19.65296776132414
14,-1547.2842325327344,-16.605512619874503
15,-2922.883667140782,-17.473022520755215
16,-2427.446712051838,-17.247755714273993
17,-4054.000797760676,-19.424052587078087
18,-2991.5581735574356,-17.39660039415268
19,-2162.136115109934,-14.655888594162578
20,-2840.6421417274805,-14.3842764882179
21,-4191.462312984869,-17.295302109977843
22,-1821.6155513080494,-14.329151925472159
23,-690.6106514750768,-10.295231773737612
24,-3022.31482362379,-11.589605522844726
25,-1057.91384953264,-9.62307417483708
26,-1853.6665927034294,-9.603908256198892
27,-2983.754976643823,-11.414360025128497
28,-3808.316170271873,-14.916373894063941
29,-2195.5150470343565,-15.263722801036478
30,-1626.691418971902,-14.672945761460204
31,-4571.763607526933,-18.61626185159345
32,-2997.2362650841264,-20.652775928529636
33,-2253.279907232427,-21.847065129989197
34,-4665.91412311181,-25.468290170161712
35,-3802.78532701088,-27.94882754453434
36,-1833.6960404248575,-22.229419673801257
37,-2391.986811310624,-20.18462995543028
38,-2798.5078248159393,-22.0390844629356
39,-3758.970394465796,-24.51850004752318
40,-3010.707876255876,-22.8761613278484
41,-1704.7540596076244,-22.49625080826912
42,-3315.6689953274604,-24.945769033902174
43,-3131.661861750123,-26.897131029876018
44,-4178.506137626856,-29.52970563254936
45,-2199.670044613166,-27.116473653273047
46,-3404.269826873662,-29.02240743612938
47,-3088.7778996484885,-23.972298184392212
48,-2404.420176994897,-24.680831765581523
49,-2398.0255145950027,-24.249545805523102
50,-2063.4156168157992,-19.26590897699075
