episode,reward,avg_q_value
1,-5590.959701475524,-20.30769503274701
2,-5837.015282546733,-33.29543554771393
3,-5177.931842146443,-46.10926997771876
4,-4731.15288673164,-40.56745303435944
5,-5606.663741029174,-54.25914160880048
6,-4859.726722246391,-45.15427249039316
7,-6296.090932143989,-47.224567405287154
8,-7839.019904367793,-67.42363269236499
9,-4341.58314591886,-47.925204206649
10,-5183.124532579562,-42.28839264070365
11,-4138.743288495943,-50.43146046489914
12,-6384.653462106273,-64.42356284786494
13,-4926.7542080585845,-71.55793517603139
14,-8122.414448821887,-88.62343972731547
15,-4465.2043410154,-59.7080418914122
16,-5482.5735778242515,-50.58425151055346
17,-5262.265024765092,-46.7347543140476
18,-3940.625175482632,-53.50201529676557
19,-4893.3977335293275,-43.36102776200783
20,-7783.001735557678,-62.10961102321098
21,-4635.510425584121,-49.49429255313857
22,-7919.952445088871,-69.85491025159719
23,-3848.8341152200833,-60.414609492642434
24,-3058.1759885777683,-51.5890217337441
25,-5573.902444604033,-50.58907664662187
26,-8026.536880281088,-72.10510310628283
27,-6940.185238889628,-81.40398023686215
28,-5028.145144597232,-85.79635498443383
29,-4781.23066868932,-88.14514397853846
30,-5876.297245230606,-94.1635343505914
31,-3645.4158005836025,-70.63268004907594
32,-4526.450660582866,-51.90379312553708
33,-5249.567886988157,-63.04971880204081
34,-4138.268889545001,-68.06448289456056
35,-4567.586425313327,-53.97013951135413
36,-4741.1459705105035,-45.54075143727872
37,-4813.243189491748,-42.32954116109297
38,-5229.671243858572,-42.93810554762177
39,-5216.300989131752,-43.341743258945286
40,-5909.023132264154,-47.03078093843797
41,-6418.176922380736,-49.48107982306478
42,-5051.055954512244,-46.97094700731055
43,-5546.859143076818,-59.69359198498156
44,-6048.316183493648,-72.16166025860707
45,-5336.294536189954,-58.62349553917458
46,-5231.523410428966,-68.10268791384891
47,-7869.617904947685,-83.30930568903584
48,-4335.119846298196,-56.68450534625119
49,-4244.398855479974,-42.79894092459714
50,-4481.852519232341,-52.750113444325
