episode,reward,avg_q_value
1,-21538.775226651225,-38.963890545127676
2,-4160.205633234975,-40.643368206103844
3,-4544.211545407321,-49.15254869728318
4,-8576.011039377263,-74.37567476276922
5,-8737.653043867307,-95.14339069615623
6,-6626.4581357098505,-95.9896041119054
7,-5996.143797887242,-96.60301446504464
8,-4632.130301969693,-94.12765050702554
9,-5224.609169402247,-96.88044518038124
10,-4886.144606587273,-98.1039557253654
11,-4988.389197784883,-97.97592797341366
12,-5561.31043704976,-97.29232866606476
13,-5064.303240937239,-92.59086316453084
14,-10790.921817404786,-105.21051621689321
15,-4581.607536409894,-104.63888777303316
16,-6288.541218144848,-106.62832033202805
17,-4683.344574687289,-103.39117851387336
18,-7058.096142449795,-102.88173009677189
19,-4215.246683064834,-102.29314299748238
20,-4709.128928364895,-103.7390353053417
21,-4995.314754292369,-105.14425418030108
22,-6497.184246269768,-105.00767816661232
23,-5755.782342594786,-101.13499878452664
24,-2902.307343299821,-99.27610605103513
25,-6409.943992352317,-103.44856667246484
26,-6940.299909482303,-104.14192535675313
27,-5074.4391309848,-103.25778702736973
28,-5769.475870492373,-103.99550460621397
29,-4264.4545344948565,-104.66078663724777
30,-6508.87173144221,-102.53999130075323
31,-5488.326142054822,-100.24255339363499
32,-5179.512583692369,-98.4148662117002
33,-5032.89812906232,-100.32895220293584
34,-4676.708952462286,-102.75763379642592
35,-4311.376160982341,-102.35423340906478
36,-3832.9520048323466,-101.75089153796638
37,-7127.65263460984,-104.06350425314129
38,-5872.745909842299,-101.53415233869998
39,-4425.408811164874,-100.14119472627851
40,-4629.993568274818,-99.60370824067343
41,-5050.636286897279,-98.8581632075368
42,-6448.106139479816,-99.8993447393759
43,-4316.711839732277,-99.02857314166489
44,-6061.090532079761,-100.28268038949055
45,-3950.5479006398673,-99.4963475127512
46,-3791.0999331148487,-96.7046924159237
47,-4013.0623303923203,-95.25201726400394
48,-6336.603600684815,-99.50974979198041
49,-5822.149422684888,-100.856572343342
50,-5877.425551987253,-95.90417860749899
