episode,reward,avg_q_value
1,-81653.94291994783,-97.38643513444181
2,-62313.739277231434,-109.73750094736069
3,-31959.22552890102,-82.33369190636701
4,-50113.137447162764,-102.93443607117109
5,-77879.8459950766,-105.45237456688032
6,-67601.00518777211,-128.672946043733
7,-52217.47052188752,-127.92965860166066
8,-44504.32333370067,-130.7963193046356
9,-75538.78978731339,-183.32876278077597
10,-53371.225315000396,-152.05686450030262
11,-49478.80036593838,-137.5843047420443
12,-26490.18205704265,-45.88575043022431
13,-60918.35201129252,-109.95283856088243
14,-52549.31940146773,-122.90593404018023
15,-61144.10408726026,-157.67114134043015
16,-40919.127553575454,-132.30075296204896
17,-43207.830784688456,-117.04851525267433
18,-68221.52054710219,-153.65528935056406
19,-48401.138895855285,-146.82781426971746
20,-42939.048085747956,-116.34325443065451
21,-82333.56002946499,-186.892793412313
22,-44957.55044097046,-113.03489471673215
23,-21551.049096984905,-24.163432513472312
24,-35138.055991763336,-66.4938356145417
25,-90564.39063826806,-107.66462454287046
26,-44978.9433719481,-95.00167123489818
27,-44297.155207462114,-88.99407871020458
28,-81897.77558365499,-159.40531244426055
29,-41505.70701282543,-118.37933529918244
30,-52063.69381694775,-114.70249552155683
31,-50981.99183578079,-113.62333499392692
32,-69693.77495302017,-129.4508944451959
33,-72542.47158491556,-146.2263793697979
34,-45922.839898203354,-104.04268453272277
35,-86319.11782194907,-153.01697465024577
36,-54831.734831441965,-132.96791447615527
37,-46138.901552900395,-116.99102056249114
38,-74427.11295953182,-140.40435622292412
39,-73539.99819401218,-150.3910757710552
40,-49018.62171558557,-121.03889295096968
41,-44551.425458087746,-109.75356081696059
42,-51830.9547300799,-118.5143202623869
43,-38704.540028280564,-105.8243462653752
44,-61532.89177128312,-152.34935491487508
45,-31495.40441622754,-81.22756314264853
46,-72349.4590899056,-201.0971989131131
47,-29384.029495485636,-122.47077769908843
48,-58522.31389053726,-133.2716830231038
49,-42061.15039166821,-113.46676949919454
50,-52480.98278012469,-106.742964847252
