episode,reward,avg_q_value
1,-6734.114143014269,-23.809997969447164
2,-968.5545961863737,-7.2591488178369135
3,-7716.39976736992,-19.957471242536183
4,-7596.969657891021,-22.070420289677333
5,-2885.76285687224,-11.414754317560755
6,-1471.834016480288,-7.740736933836444
7,-2028.8634818136684,-7.070097481106629
8,-4708.7924229392875,-13.108302776982704
9,-1028.1054200702329,-6.677392769859654
10,-4009.2660759499363,-11.317813511380422
11,-3934.723893351959,-12.026077441743245
12,-5074.051857499519,-15.750555354760317
13,-705.8732324745563,-6.554395409961489
14,-2442.58178220154,-9.447736877891476
15,-9112.742775585382,-22.10245291811815
16,-1727.7600662197276,-11.347946637732202
17,-2742.7625994153477,-11.461824719809073
18,-4645.738714437427,-13.076735853652025
19,-6292.766686451561,-18.807532689903148
20,-6728.534885180326,-18.33891435246126
21,-1550.1673404186558,-7.816960333653513
22,-2072.5023650100275,-8.370800887056767
23,-2791.4049672942865,-10.028542283612234
24,-3860.068583328365,-9.077482441696503
25,-785.7884193510309,-5.484538095412481
26,-2990.861084712413,-9.733532458258653
27,-3261.4755461873774,-11.937746174308913
28,-6693.845766945221,-18.83200260894319
29,-4199.893084943182,-16.123569914277237
30,-6564.381563811704,-20.13084019244342
31,-5105.1966300523345,-18.077733221359782
32,-1173.9378700436193,-8.009784676269964
33,-2844.1905755524813,-10.402420166917821
34,-5881.267526166274,-16.041942934735065
35,-2694.0907918007883,-10.160778969419402
36,-3669.7661626989393,-11.652268385363167
37,-932.8507142030608,-6.121773772157048
38,-7401.247697558599,-18.860334275069718
39,-6426.135919150047,-17.97614302778395
40,-3001.6565121158774,-10.747546518473316
41,-3618.9342876752617,-11.282295375521533
42,-907.4315930409118,-5.76546387636904
43,-6587.42112108543,-17.531709965617228
44,-2120.6182178205568,-11.29228220071866
45,-1430.5244737024457,-7.665475396609456
46,-2034.7121097363622,-8.06309329273843
47,-7590.201334145983,-19.54985622632063
48,-6605.701516643715,-20.875887478027824
49,-2279.5268640200666,-10.600774017164497
50,-6085.624119046343,-17.937795656814455
