timestamp,open,high,low,close,volume
2025-09-25 05:15:00+00:00,111848.01,111956.85,111817.21,111945.8,52.72432
2025-09-25 05:20:00+00:00,111945.8,112000.0,111857.56,111999.99,55.95501
2025-09-25 05:25:00+00:00,111999.99,112040.0,111930.31,111981.99,59.00326
2025-09-25 05:30:00+00:00,111981.99,111982.0,111827.5,111906.85,100.21883
2025-09-25 05:35:00+00:00,111906.84,111906.85,111803.25,111817.99,30.1806
2025-09-25 05:40:00+00:00,111817.99,111841.34,111765.63,111777.79,30.09817
2025-09-25 05:45:00+00:00,111777.8,111777.8,111643.79,111716.59,49.55388
2025-09-25 05:50:00+00:00,111716.59,111814.12,111716.59,111736.77,34.88407
2025-09-25 05:55:00+00:00,111736.77,111763.1,111722.08,111749.91,17.02686
2025-09-25 06:00:00+00:00,111749.91,111797.01,111685.97,111685.98,25.65062
2025-09-25 06:05:00+00:00,111685.98,111719.07,111641.66,111660.48,40.60269
2025-09-25 06:10:00+00:00,111660.48,111685.29,111594.05,111594.05,36.18319
2025-09-25 06:15:00+00:00,111594.06,111785.99,111555.0,111785.98,46.94048
2025-09-25 06:20:00+00:00,111785.99,111843.3,111700.0,111761.26,44.64632
2025-09-25 06:25:00+00:00,111761.25,111761.25,111685.67,111699.98,24.00717
2025-09-25 06:30:00+00:00,111699.99,111800.0,111699.99,111800.0,18.52883
2025-09-25 06:35:00+00:00,111800.0,111800.0,111711.16,111792.01,17.0258
2025-09-25 06:40:00+00:00,111792.01,111792.02,111625.88,111625.88,29.31226
2025-09-25 06:45:00+00:00,111625.88,111668.0,111625.88,111650.55,25.45813
2025-09-25 06:50:00+00:00,111650.55,111650.56,111560.49,111560.5,22.49362
2025-09-25 06:55:00+00:00,111560.5,111560.5,111515.87,111533.26,41.11748
2025-09-25 07:00:00+00:00,111533.26,111544.0,111500.0,111544.0,40.13529
2025-09-25 07:05:00+00:00,111544.0,111728.0,111450.42,111656.83,102.72909
2025-09-25 07:10:00+00:00,111656.83,111701.0,111562.65,111608.78,48.42783
2025-09-25 07:15:00+00:00,111608.78,111810.69,111594.99,111810.35,70.88194
2025-09-25 07:20:00+00:00,111810.36,111872.0,111760.0,111817.75,35.56145
2025-09-25 07:25:00+00:00,111817.75,111875.0,111773.72,111860.41,36.10064
2025-09-25 07:30:00+00:00,111860.41,111860.42,111808.0,111812.77,39.22761
2025-09-25 07:35:00+00:00,111812.77,111872.94,111779.96,111821.81,30.70918
2025-09-25 07:40:00+00:00,111821.81,111883.23,111821.81,111831.37,28.19071
2025-09-25 07:45:00+00:00,111831.37,111843.44,111809.07,111823.38,18.0542
2025-09-25 07:50:00+00:00,111823.38,111848.0,111790.5,111848.0,34.29721
2025-09-25 07:55:00+00:00,111848.0,111848.0,111724.15,111766.72,30.83204
2025-09-25 08:00:00+00:00,111766.73,111855.93,111766.72,111855.93,25.84683
2025-09-25 08:05:00+00:00,111855.93,111913.29,111830.01,111878.58,48.14006
2025-09-25 08:10:00+00:00,111878.57,111980.87,111860.7,111980.86,89.06619
2025-09-25 08:15:00+00:00,111980.86,112012.77,111910.43,111911.99,49.20639
