episode,reward,avg_q_value
1,-4061.6860406566407,-5.038933829628244
2,-1977.0757091574642,-5.518541367548609
3,-3575.5681510751065,-9.066819884594816
4,-1723.704643826064,-7.327861687268068
5,-3299.0302799623246,-9.971422755766469
6,-2955.533857197759,-11.56973895001529
7,-2322.878987548568,-10.735318668083602
8,-2675.67019415401,-12.963982682900822
9,-1114.372951890649,-11.778665027963726
10,-3866.0132415585817,-15.289523385969803
11,-2773.0974036310145,-16.59877980702725
12,-2838.0784598208643,-16.917787632687986
13,-4149.898510546704,-20.38555555497438
14,-2850.3952771020613,-18.280813978603938
15,-1693.0442201919768,-16.12224906566447
16,-1704.738124686956,-12.68481198474679
17,-1950.9776664277724,-11.052029372480167
18,-3662.0673773718295,-14.345042342307595
19,-3523.0754046167517,-16.907385311162418
20,-2377.3813893679217,-14.130454743780371
21,-3539.6046382528784,-16.537636025656262
22,-2177.2387900476865,-14.97750653988624
23,-2530.937908688365,-16.957900380544036
24,-2214.180307873049,-17.541760859108
25,-2106.318949806796,-16.183504304629643
26,-2488.357618318245,-16.632873572651974
27,-3223.8785070852173,-19.22067074712297
28,-1675.8130967261195,-15.159480499190673
29,-4009.1406084620376,-18.18489527866254
30,-2132.8721720329845,-19.378250693927214
31,-2851.0274720927496,-21.072636603418562
32,-1717.8842399267583,-18.624851683468442
33,-5229.575967631875,-23.419691076631217
34,-1987.717409987032,-20.010097667623047
35,-2105.5071628805013,-18.454644458098567
36,-3228.232768548479,-20.962075228598376
37,-3327.109529590935,-23.322648261935317
38,-4330.355578252734,-26.599332008000687
39,-3626.275989465994,-28.893529420686082
40,-1269.0667176301502,-20.992758954864026
41,-2979.3645538628725,-22.212052198903947
42,-3832.21343065059,-25.126156234592276
43,-3831.697190100124,-26.95392026285689
44,-1665.875022946086,-21.22917443165858
45,-2897.513729744739,-23.235764650120387
46,-2989.1508567462893,-25.26651899806139
47,-3683.401299698974,-27.887391752779347
48,-2116.1738880819803,-23.278641000943043
49,-2911.525996589647,-24.40640750619163
50,-3313.8092326725973,-23.121961924071407
