episode,reward,avg_q_value
1,-69473.08910608466,-119.90790590258926
2,-43611.853800125726,-85.09611793422987
3,-65964.7366446026,-136.9283250586643
4,-51407.009073120396,-137.39875777405462
5,-57989.72172828732,-112.89215366706856
6,-40266.34087047572,-110.82185196608555
7,-78799.28137823408,-139.43405083444955
8,-35533.101699573,-99.82011622111354
9,-63190.306701124675,-144.245966056871
10,-55014.26850561355,-66.3449268905169
11,-44423.2208687675,-54.26357155754505
12,-47045.962027532674,-84.27143108356671
13,-58388.611592812595,-100.9211358013568
14,-77254.84523338724,-153.596204472602
15,-41956.82463461302,-133.36605101549424
16,-83156.86950666884,-195.27171573859565
17,-73039.54836474734,-164.58316909909047
18,-118943.0295089016,-313.20293339166784
19,-40143.94084190337,-152.0799204775624
20,-45490.948774940145,-126.56078395657126
21,-46761.56219460325,-131.95603433102792
22,-46346.96590341003,-114.22880804627961
23,-39590.75691317854,-103.90585393250224
24,-54393.734776032434,-112.69881122046263
25,-71245.92139990948,-136.26266638109178
26,-43272.50316715804,-126.82616046511153
27,-55953.62402546173,-125.10897299521679
28,-56247.85771950017,-125.85848671107294
29,-51657.765912200775,-123.44857101451396
30,-51411.222780170094,-134.46316764236056
31,-50633.52903463527,-79.79958302287928
32,-55888.956522574765,-91.51738344788863
33,-54162.816232977304,-94.01170849296552
34,-41700.09534468576,-84.22689838900779
35,-15331.574435474846,-46.70553017735674
36,-44356.68722973326,-92.5378543910261
37,-62029.60523462256,-134.31559298974923
38,-63458.596523792876,-118.93550842385976
39,-53132.65512712262,-123.91610955923954
40,-49138.84938473202,-140.03116083876682
41,-64217.96179095282,-139.50058042751326
42,-51804.63518542277,-123.1466375231434
43,-81168.68704485684,-217.2423662720355
44,-45632.37432590773,-124.66634817803522
45,-53250.70753258024,-136.1149989041735
46,-44146.57458361745,-123.36204763081982
47,-63719.68600160966,-140.73963910584686
48,-63975.16680196431,-123.36974238800381
49,-56637.15948192729,-142.58394427740845
50,-21943.31209712276,-12.666765679579925
