episode,reward,avg_q_value
1,-2088.7726591631167,-7.542042731431359
2,-3061.195917859393,-15.193197317079905
3,-1652.5505439428614,-18.26580346237495
4,-2694.9394875655757,-24.177649136175177
5,-4826.021428204337,-36.21326434997889
6,-2495.6363060926824,-38.78469612208695
7,-3160.721670852015,-43.390616713036195
8,-1206.6170498274755,-10.863540296010632
9,-3076.111312582267,-20.16023938863827
10,-440.3828078873532,-7.32297144868236
11,-3755.7029526450156,-19.042533563588385
12,-2897.3942350963757,-26.253342221964328
13,-796.0358682156652,-12.947529678137363
14,-3134.227493133168,-19.290316260210414
15,-3037.19844115751,-26.959846116945837
16,-1803.475631915942,-19.09294203350021
17,-3315.006329904781,-27.553724783669196
18,-1645.7105066507359,-17.266534631171236
19,-2049.3718715027976,-16.524246999023436
20,-2149.62910935207,-17.403314707313665
21,-3290.019597427662,-26.207497474605777
22,-3258.004758548738,-33.89152670635875
23,-1224.7930693911633,-19.455386890108088
24,-443.5121437219004,-9.77736482666893
25,-3332.761264572423,-20.404606200357723
26,-1207.0308267317112,-13.77939659173857
27,-4402.55405385826,-27.891872320497455
28,-5158.96677892044,-42.28725503809477
29,-1074.9765662289096,-21.17810553345704
30,-4484.30170580252,-34.18523208547663
31,-1359.8624239944331,-31.422496802305123
32,-3689.747987532239,-37.40918485221103
33,-2277.5293789120483,-26.706286986091655
34,-5064.817438356192,-40.009672816364635
35,-1468.0573580246692,-21.943583919437017
36,-3438.259984163556,-30.44747770778977
37,-2706.7266920424854,-33.21633704842947
38,-3161.9738266658746,-39.68805418235012
39,-2074.4901437069843,-25.171372591331252
40,-2663.6394763744074,-28.464631154801484
41,-2945.232620398317,-35.1781014896894
42,-5954.457282709157,-50.88273905647393
43,-2073.280946693757,-30.377645997836098
44,-2008.3361598395402,-22.932712493509925
45,-2378.7614141444947,-28.260699746244114
46,958.1273517972666,-0.737405912408044
47,-2910.8478012761,-11.995297718726547
48,-4571.5388097665045,-27.208653459710423
49,-1777.7061548221156,-28.411770939582322
50,-1469.4639701954784,-17.09073788399575
