episode,reward,avg_q_value
1,-188.63550163784092,-0.12849394930323246
2,-72.64341337381305,-0.16342422342642748
3,-86.66043331197676,-0.1999091497582479
4,-112.54179639057615,-0.2539430852049914
5,-135.52132259529256,-0.3204887439104686
6,-306.3119542765663,-0.48895050247206745
7,-81.09424982326975,-0.520483329253605
8,-40.946331256333046,-0.5090385630090005
9,-41.199272725653,-0.5073059184664992
10,-38.544548522690945,-0.5018646438045553
11,-61.60531182019901,-0.4903186918620511
12,-120.89329652528023,-0.5421311117063835
13,-187.89317935408,-0.6504349903319806
14,-165.9291007752427,-0.7393544692345818
15,-246.75959036038142,-0.765142079945434
16,-34.94093354226281,-0.7523989990401315
17,-32.09435858183597,-0.7375233663322506
18,-24.44147743227637,-0.7138991707188808
19,-44.89461958224138,-0.7099112457978539
20,-26.667269596144806,-0.683888792549079
21,-11.763368198630717,-0.6457820092422459
22,-26.697034735982776,-0.6347227865273602
23,-36.96850081225387,-0.6259621967911914
24,-40.13749777469487,-0.6157897208045603
25,-37.76729424416811,-0.613400354447353
26,-26.089103871003402,-0.5995665210536442
27,-38.15864866234013,-0.5970216189459571
28,-43.769988758373046,-0.5950844563923118
29,-54.107935993086286,-0.6061148948062365
30,-52.19165200752895,-0.6175814341838044
31,-101.41176715147122,-0.6670792258802957
32,-75.81256402849723,-0.6423168366557966
33,229.68361086301988,-0.20599327941080828
34,-123.37197227603131,0.07147812789072673
35,-164.43098731831446,-0.008352408403366507
36,2100.0302771352176,2.6492817777571345
37,-263.4831978899631,3.3829674998064205
38,-230.29407193054982,3.229713160093139
39,-211.45545525823465,2.9905768675367956
40,83.8158802105882,3.1319366757686224
41,-167.0853783910696,3.0050134424384587
42,-320.2285197470751,2.671059785025979
43,-265.8995037536914,2.424696836755168
44,-386.6058679684462,2.0609844988684074
45,-177.71952652654804,1.8945322058754341
46,-153.6790581879794,1.7285905368611618
47,-147.98555111921334,1.5941923503206816
48,-115.55600491472366,1.6700318438929072
49,-258.02825480484734,1.4257252288807465
50,-183.30410070133448,1.3287137539623215
